Surname,count,percent,min_rank,cume_dist
岡,1589,0.08897494590950425,169,0.24766259269028987
平井,1587,0.0888629573054646,170,0.2491280518186348
西山,1573,0.08807903707718702,171,0.2505935109469797
伊東,1568,0.0877990655670879,172,0.2520589700753246
小西,1565,0.08763108266102841,173,0.2535244292036695
熊谷,1548,0.08667917952669137,174,0.2549898883320144
高山,1535,0.08595125360043362,175,0.2564553474603593
大島,1534,0.0858952592984138,176,0.25792080658870425
早川,1528,0.08555929348629483,177,0.25938626571704915
川村,1523,0.0852793219761957,178,0.26085172484539404
小田,1519,0.0850553447681164,179,0.26231718397373893
荒井,1516,0.08488736186205692,180,0.2637826431020839
八木,1515,0.08483136756003709,181,0.26524810223042883
岩本,1513,0.08471937895599743,182,0.2667135613587737
篠原,1505,0.08427142453983882,183,0.2681790204871186
奥田,1503,0.08415943593579917,184,0.26964447961546356
宮田,1496,0.08376747582166039,185,0.27110993874380845
大石,1488,0.08331952140550178,186,0.27257539787215335
澤田,1487,0.08326352710348195,187,0.27404085700049824
齊藤,1485,0.08315153849944229,188,0.2755063161288432
杉浦,1484,0.08309554419742246,189,0.2769717752571881
桑原,1482,0.08298355559338282,190,0.278437234385533
片岡,1475,0.08259159547924402,191,0.2799026935138779
奥村,1473,0.08247960687520438,192,0.2813681526422228
古賀,1469,0.08225562966712507,193,0.2828336117705677
河合,1465,0.08203165245904576,194,0.2842990708989126
福井,1463,0.08191966385500611,195,0.28722998915560244
濱田,1463,0.08191966385500611,195,0.28722998915560244
大森,1461,0.08180767525096647,197,0.28869544828394733
横田,1460,0.08175168094894664,198,0.2901609074122923
内山,1459,0.08169568664692681,199,0.2916263665406372
石橋,1455,0.0814717094388475,200,0.294557284797327
萩原,1455,0.0814717094388475,200,0.294557284797327
岡村,1449,0.08113574362672854,202,0.29748820305401685
桜井,1449,0.08113574362672854,202,0.29748820305401685
菅野,1445,0.08091176641864924,204,0.29895366218236175
今村,1441,0.08068778921056993,205,0.3018845804390516
北川,1441,0.08068778921056993,205,0.3018845804390516
